,Interactional Dominance,Individual Dominance,Estimated Average Partial Dominance,Total Dominance,Percentage Relative Importance
feature_thermo_1573_15_total_df,1.1102230246251565e-16,0.005605872147602886,0.005752755199853866,0.011358627347456863,0.010498536850531523
feature_text_is_diameter,6.707245629244962e-05,0.009910516494160637,0.0009132763506455227,0.01089086530109861,0.01006619437368535
feature_ele_Na,-0.00021489145442332713,0.009021889709066144,0.001988608727142059,0.010795606981784877,0.009978149142070385
feature_ele_Pd,0.0026636421469312666,0.004545621405452116,0.0032485206813724216,0.010457784233755804,0.009665906785609496
feature_ele_B,0.0022002552162458944,0.0032571951125173193,0.004214791670228736,0.00967224199899195,0.008939846862430162
feature_ele_Cr,0.0011587482052495268,0.00517504533628077,0.0032637193378947426,0.009597512879425039,0.008870776332023452
feature_thermo_1273_15_first_df,0.0,0.007732551048969416,0.0018648969148585685,0.009597447963827985,0.008870716331922473
feature_thermo_1373_15_first_df,2.220446049250313e-16,0.008814389050800453,0.0007003655804193856,0.00951475463122006,0.008794284649367809
feature_ele_La,0.0013207944267461524,0.0033133018259613456,0.0033889736275142576,0.008023069880221756,0.0074155522683607015
feature_text_is_regrinding,0.00016979875951417256,0.006394610137737122,0.0013049636752478896,0.007869372572499185,0.007273493126917508
feature_ele_Zn,-0.00018267497467960858,0.0044255603978435865,0.0032541461420053336,0.007497031565169312,0.006929346280045917
feature_thermo_1473_15_total_df,1.1102230246251565e-16,0.005845001483865575,0.0014992469506670267,0.007344248434532713,0.006788132092973654
feature_thermo_1373_15_total_df,0.0,0.005785418533637454,0.0014586447473975586,0.007244063281035013,0.006695533093666994
feature_ele_Eu,-0.00021647555372061866,0.007136626785904432,-5.844238319219485e-06,0.006914306993864593,0.006390746394829813
feature_thermo_1173_15_total_df,2.220446049250313e-16,0.004980828218444366,0.0014894384457349176,0.006470266664179506,0.005980329394454781
feature_ele_W,0.0024295682398398633,0.0012975443647966767,0.0026307943099112417,0.006357906914547781,0.0058764776757619175
feature_ele_Ni,0.0017350711559565024,0.004136565816652116,0.0004471160792380424,0.0063187530518466605,0.005840288596057634
feature_ele_Cu,0.002688056450480758,0.0021613223506881107,0.001288635660087107,0.006138014461255976,0.005673235773952834
feature_thermo_1273_15_total_df,-1.1102230246251565e-16,0.005365364622426316,0.0005853293542965892,0.005950693976722795,0.005500099447742489
feature_exp_min_mp,0.0,0.009024282742334355,-0.0032263502374658614,0.005797932504868494,0.0053589052794204796
feature_thermo_1373_15_last_df_frac,-0.00016067925156837415,0.0016996575423955385,0.004145018236482379,0.0056839965273095434,0.005253596686893075
feature_thermo_1173_15_first_df,1.1102230246251565e-16,0.006246520750819107,-0.0005997308768725915,0.005646789873946626,0.005219207371224312
feature_ele_Ba,0.0034665855083010344,0.00028372198772819157,0.0017272055356585317,0.005477513031687758,0.005062748398495161
feature_thermo_1073_15_first_df,1.1102230246251565e-16,0.004886100250492631,0.0005108679339783545,0.005396968184471097,0.0049883025151363876
feature_ele_Co,0.0007223588070848219,0.007419225870501922,-0.0028175908923339914,0.0053239937852527525,0.004920853835300023
feature_thermo_total_ddf,0.0,0.005937422806930326,-0.0006160389307553557,0.00532138387617497,0.004918441552038017
feature_ele_Zr,0.00031617648899173734,0.00532740153771416,-0.0003417155517264209,0.005301862474979477,0.004900398337523124
feature_thermo_1373_15_last_df,0.0006856306190187178,0.0009622124157970813,0.0036115047278750447,0.005259347762690844,0.004861102896269662
feature_thermo_1473_15_first_df_frac,-4.1963146458434686e-05,0.0006753388990164977,0.004370252079771066,0.005003627832329129,0.004624746422006167
feature_text_is_distilled,-0.00014292919186276176,0.0030442616300384584,0.0020786121835688,0.004979944621744496,0.004602856535890893
feature_ele_Lu,0.0014158478717437584,0.0014915688455876541,0.002026318868294727,0.0049337355856261395,0.004560146509962916
feature_thermo_1573_15_first_df_frac,0.0004856672512274507,0.0022160606830612384,0.002221842609796304,0.004923570544084993,0.004550751179000606
