,Train,Valid
0,0.327007132296659,0.32428710899288027
1,0.3298576084304543,0.3258380526232637
2,0.35076285798477036,0.3456479688542735
3,0.35490186639369226,0.34811802898508604
4,0.35861239546232493,0.35022583254718365
5,0.3622065572515285,0.35277899754074427
6,0.3968735358643074,0.38653717159089584
7,0.4143701419964686,0.4033851972556234
8,0.4163951944545484,0.4042369345215796
9,0.42027823669215536,0.4070166510589739
10,0.43281677933876905,0.41965142820895773
11,0.4484096136823049,0.43449949950791167
12,0.4663266020358927,0.4513440599968497
13,0.47488916657759317,0.4588707670707618
14,0.4838005245000432,0.4671621408156369
15,0.48952635059362715,0.47245068669049495
16,0.49875402937055036,0.48130837371611035
17,0.5068716228651977,0.4892419099662755
18,0.5089527066022057,0.490511416190065
19,0.5117523351141878,0.4920936978747864
20,0.5146438270217155,0.4952169821977178
21,0.5191557966005891,0.4988563882717495
22,0.5247807112515378,0.503296911642297
23,0.526659613590297,0.5046554554236753
24,0.5285002281877865,0.5055340497845826
25,0.532512769028354,0.5090982709157988
26,0.5354012077277744,0.5107866956736563
27,0.5380006335868952,0.5128992547592621
28,0.5395678439050768,0.5126653662911598
29,0.5409028128951556,0.513769256063892
30,0.5420927631731765,0.5139400673818365
31,0.5460837530226506,0.5169504121054829
32,0.5473670743871157,0.5173595355387963
33,0.5498950964801311,0.518285236899287
34,0.5527512375382128,0.5205282819567171
35,0.5543958273430283,0.5212698951545215
36,0.5557891621922917,0.5220188677453205
37,0.5570771239126797,0.522921386757351
38,0.5582197161867213,0.5242029187084909
39,0.5603263014217608,0.5249447340209129
