,Train,Valid
0,0.2103142591653524,0.20743129282073913
1,0.2755074132033585,0.2716761645883361
2,0.27895148313576157,0.2739970649638448
3,0.30000506301900565,0.2924137901818239
4,0.3000123165533233,0.2904167611967877
5,0.3000123165533233,0.2904167611967877
6,0.3188961078155381,0.3083052051209375
7,0.33833492316670377,0.3267507233854894
8,0.3512328483787095,0.33837524613473624
9,0.3735519298254766,0.3599958714328234
10,0.41174875239267417,0.3980946299183442
11,0.4180617654601604,0.4034496607824013
12,0.420664607502952,0.404908079629294
13,0.426103595933614,0.40911225842046317
14,0.4336036555052346,0.41528134561324914
15,0.4433022245695427,0.42380376824538646
16,0.4489833235610209,0.4282178936170359
17,0.4515114937196999,0.42925476700477505
18,0.4551564743209763,0.43177432563951434
19,0.4562084085361626,0.42984669929278285
20,0.46150108573644166,0.4344186531302957
21,0.4626398749438976,0.43355476669545623
22,0.4626398749438976,0.4335547666954561
23,0.4626398749438976,0.43355476669545623
24,0.464728228477445,0.4348359851556164
25,0.4787127802633012,0.4483709827520034
26,0.4787141162765969,0.44765121332625457
27,0.486205245494294,0.45502058433041015
28,0.5060400646437341,0.4755687003378871
29,0.506872797589654,0.47605209250672176
30,0.506872797589654,0.47605209250672176
31,0.5072288021016216,0.4758510701600266
32,0.5073274757603102,0.47509281274862647
33,0.5074867560385918,0.474878956570182
34,0.5161279262422023,0.4826431481891349
35,0.5164607681283735,0.481765870269091
36,0.5167126428715393,0.48187291343832817
