,Valid
0,0.2443420704183551
1,0.2607190363047912
2,0.2785390140474192
3,0.2581490948280837
4,0.26737258403586917
5,0.268635725745742
6,0.3437720530362307
7,0.3763032152098569
8,0.3783600144003033
9,0.37683973716162567
10,0.38624009214817934
11,0.37073979067289753
12,0.4039159567870967
13,0.4041050192373872
14,0.4006821629759738
15,0.4021866867075644
16,0.41187153622090056
17,0.40606051404782106
18,0.4073811118331756
19,0.4200479769193052
20,0.4192581138751118
21,0.428425069567126
22,0.4406318304883806
23,0.43756967166354255
24,0.42534633029566793
25,0.4023926150005015
26,0.39040556334040755
27,0.3820738723612037
28,0.3884249005288143
29,0.38032184437968874
30,0.3774644697807614
31,0.36441894388538243
32,0.36689498942272936
33,0.3598680776786043
34,0.3490762949223777
35,0.3466979388298872
36,0.34769300806044623
37,0.35211694879590216
38,0.34645774460075585
39,0.33588677590376104
