,Interactional Dominance,Individual Dominance,Estimated Average Partial Dominance,Total Dominance,Percentage Relative Importance
feature_ele_Ca,0.0002171696807641288,0.007470036218856113,0.005353400736530694,0.013040606636150937,0.005463634401306374
feature_ele_Br,0.003310493076979948,0.005625635339824964,0.0037584164903881776,0.01269454490719309,0.005318644615166507
feature_thermo_1373_15_total_df,-4.440892098500626e-16,0.009742407755215843,0.0019572741627999555,0.011699681918015355,0.00490182599591688
feature_ele_Nb,-0.00010726893429902074,0.007261489541398158,0.0038519311306141634,0.0110061517377133,0.004611257047924983
feature_text_is_distilled,0.0003118602860801012,0.008606798416074146,0.002009282211579922,0.010927940913734169,0.004578488990397482
feature_thermo_1473_15_first_df_frac,0.0054669917688985326,0.004123286353418298,0.0013367718388706791,0.01092704996118751,0.004578115707227483
feature_ele_Y,-0.0001355642785345612,0.010567607383854871,0.0002641856879243287,0.010696228793244639,0.004481408360022766
feature_ele_K,0.0009373319074011954,0.008299723350425725,0.0011122963702343835,0.010349351628061304,0.0043360769298522225
feature_ele_Yb,0.0005282711400670381,0.008742723198149727,0.0009202184596051355,0.0101912127978219,0.004269821365430614
feature_thermo_1473_15_total_df,-2.220446049250313e-16,0.011386798707891943,-0.0014024274839799355,0.009984371223911786,0.004183160769772219
feature_ele_In,0.000245970378913829,0.008423467559658171,0.0013034118808905237,0.009972849819462525,0.004178333636843767
feature_ele_Ag,0.000530600242202417,0.00901906028460786,-0.00016174181605366322,0.009387918710756614,0.003933264537139432
feature_ele_Cs,0.0010136893654528745,0.008067127016750497,-0.0002394968524193661,0.008841319529784005,0.003704255398821515
feature_ele_Tl,0.001042022077302751,0.005625635339824964,0.0019316986557278365,0.00859935607285555,0.003602879757026716
feature_thermo_1173_15_first_df,-1.1102230246251565e-16,0.008529840978202863,-7.434850162962747e-05,0.008455492476573125,0.0035426050998980108
feature_ele_Hf,0.003324328536527532,0.005942547118198416,-0.0008701915569523283,0.008396684097773619,0.0035179661018468534
