,Train,Valid
0,0.5540300299950082,0.2753581684589368
1,0.5992218894808836,0.34455980948001186
2,0.6963862556617715,0.4155078719764016
3,0.7107142407251639,0.4361387438999029
4,0.7344118512439222,0.4321947380402208
5,0.75455072409052,0.458297711819475
6,0.7554860284738218,0.45427323843000855
7,0.7605800261995963,0.4657087845032163
8,0.7566833188652522,0.4757582238706457
9,0.7652685914537087,0.48396473457910405
10,0.7802843926535514,0.48142215748755457
11,0.7804399443250762,0.4834196509194454
12,0.7949722106108864,0.49012827315954444
13,0.8016693130879231,0.5104018059666489
14,0.7981663178192776,0.5099047930819682
15,0.806319025768742,0.5324834727012117
16,0.8099902223160788,0.5450458406069474
17,0.8076915165127457,0.5436683660984826
18,0.8078394088737809,0.5464577611706679
19,0.8083731302239217,0.5401927229238183
20,0.8069962618037704,0.5384771338948563
21,0.808110140274681,0.5448239570002331
22,0.8081294744518785,0.5503971797140466
23,0.8055221633806009,0.5505406292620361
24,0.806582462914774,0.5524223563430641
25,0.8089661979107193,0.5507299262029606
26,0.8073642431686189,0.5461269934918082
27,0.8069301705256577,0.5508636171479355
28,0.8067326024905774,0.5501998697968405
29,0.8054755205165365,0.5489806857029677
30,0.8031208677455087,0.5554936940145517
31,0.8022425518616645,0.5531322749647756
32,0.8156182347712835,0.5444086497148923
33,0.8144647872653676,0.547708699538323
34,0.8153636131732916,0.5490392146623051
35,0.8146321201989173,0.550144359859953
36,0.8146520979001597,0.5500922951283844
