,Interactional Dominance,Individual Dominance,Estimated Average Partial Dominance,Total Dominance,Percentage Relative Importance
feature_ele_Ru,0.005164307788068312,-0.00024077185996329575,0.008028857720900302,0.012952393649005318,0.004642904959495181
feature_thermo_first_ddf,0.0,0.012625232043251167,-0.0009758754529274841,0.011649356590323682,0.004175819308294055
feature_ele_Gd,0.0029512901950266013,0.012153217618934953,-0.0035715348895361703,0.011532972924425384,0.004134100509881459
feature_text_is_diameter,0.0003206244231633848,0.00894444321126131,0.0022025487730502735,0.011467616407474969,0.004110672863617194
feature_ele_Sb,0.000593931326516417,0.009880022419712864,-0.0003863810655863162,0.010087572680642965,0.0036159834620083584
feature_ele_Cu,0.001032068424381527,0.007975421733980359,0.0009242262777021565,0.009931716436064043,0.003560115353724038
feature_thermo_1573_15_total_df,-2.220446049250313e-16,0.008642670638415173,0.0009502903402806187,0.00959296097869557,0.003438685335791181
feature_ele_Mg,0.0001838691006902371,0.008022455524208993,0.001198222674187428,0.00940454729908666,0.0033711467146529846
feature_ele_S,-9.865315988122347e-05,0.008139861521466396,0.0006550377204813107,0.008696246082066483,0.003117249610964201
feature_ele_O,0.0017730489825347195,0.007431292199679973,-0.0011654596226038458,0.008038881559610847,0.002881611235215805
feature_text_is_distilled,0.0007344378898150872,0.006886211292381428,0.00010023272553273759,0.007720881907729253,0.002767621327184236
feature_thermo_1473_15_total_df,-2.220446049250313e-16,0.007283831365062943,0.0002194754792580203,0.007503306844320741,0.00268962953907645
feature_thermo_1273_15_total_df,0.0,0.005747071407465554,0.0013346310056143182,0.007081702413079872,0.0025385015423680032
feature_ele_Th,0.00047303857492320134,0.006098626325908851,0.00040460805166755846,0.006976272952499611,0.0025007093798789805
feature_thermo_1373_15_total_df,-2.220446049250313e-16,0.006522992369795699,0.00044722553558313144,0.006970217905378609,0.002498538892394589
feature_ele_W,0.0002347587022830666,0.004639538480335936,0.0019459939095057368,0.006820291092124739,0.002444796243454086
feature_thermo_1173_15_last_df,0.001723396343475181,0.004941650118568397,-0.00018399067750207886,0.006481055784541499,0.0023231942187862315
feature_text_is_ball_milling,0.00010695264201066035,0.009833240934803644,-0.0037473458506064646,0.00619284772620784,0.002219883382220777
feature_ele_F,0.005593011724461361,0.0020716006533821885,-0.0018674346520318361,0.005797177725811713,0.0020780518214340406
feature_text_is_ground,0.0018942624933946384,0.002160763206861094,0.001685215979498558,0.00574024167975429,0.0020576425706208246
feature_thermo_1073_15_last_df,-1.222661599853403e-05,0.005316327856154768,0.00043490856523854175,0.005739009805394776,0.002057200993895452
feature_text_is_wet,0.00023808385326051784,0.0024029070061467594,0.003002371002122779,0.005643361861530057,0.0020229151062850855
feature_ele_Cl,5.0749591762988544e-05,0.0003596351791412822,0.005185454404478413,0.005595839175382684,0.0020058801611481983
feature_ele_K,0.0013708219039836322,0.00187062773662372,0.002319068387510956,0.0055605180281183084,0.0019932189701550246
feature_ele_Yb,0.0007232251023588931,0.011791709794568228,-0.007072447139736457,0.0054424877571906645,0.0019509099309835197
feature_thermo_1373_15_first_df,-2.220446049250313e-16,0.003043312560074174,0.002372989505124853,0.005416302065198804,0.0019415234281863199
feature_ele_Se,-0.0001391685094199735,0.007626836906503565,-0.0021332444740859683,0.005354423922997623,0.0019193426374309159
feature_ele_Zn,0.0004520645499095366,0.0037764338699475264,0.0010017462659976043,0.0052302446858546675,0.0018748294446094766
feature_ele_Sn,0.002168432435152745,0.00013745488894567615,0.0028495186991071677,0.005155406023205589,0.0018480028357685634
feature_text_is_again,-0.00012728920901772245,0.002622063860304835,0.002499159939852068,0.004993934591139181,0.001790121911742178
feature_thermo_1373_15_last_df,-0.00013941219077717726,0.004120437065069593,0.0008425174455008122,0.0048235423197932285,0.001729043230601837
feature_thermo_1573_15_first_df,-2.220446049250313e-16,0.005896088267593691,-0.0011236123708323513,0.004772475896761118,0.0017107380002958023
feature_thermo_1173_15_first_df_frac,0.0017227425948505015,-0.0002478370316039147,0.0028331505626281632,0.00430805612587475,0.0015442624502184988
feature_text_is_zirconia,-0.00011932270122172461,0.00438268279376508,-6.313288781672838e-05,0.004200227204726627,0.0015056101789594268
feature_thermo_1273_15_last_df,0.0005090996122563141,0.004505465870926373,-0.0010894832972467188,0.003925082185935968,0.0014069819093946233
feature_text_is_phosphors,0.00032222048813235205,0.0036777235884613013,-0.00022824640144544994,0.0037716976751482035,0.0013519998168837965
feature_thermo_1473_15_last_df,-0.0001248340155852734,0.0030550359748640066,0.0007869973690684435,0.0037171993283471767,0.0013324643818511989
feature_ele_Nb,0.0014408434752617438,0.0006220544116342097,0.001491898614116952,0.0035547965010129055,0.0012742495906010707
feature_thermo_1473_15_first_df,-2.220446049250313e-16,0.003818847071659248,-0.0004346538354101848,0.0033841932362488414,0.0012130952769240793
feature_ele_Tm,0.0007539485676471003,0.0009258071979603155,0.00164560795917031,0.0033253637247777257,0.0011920072959704664
feature_thermo_1173_15_first_df,-2.220446049250313e-16,0.0017776832389929664,0.0013370924847019752,0.00311477572369472,0.0011165200847928205
feature_thermo_1073_15_first_df_frac,0.000447497800577068,-0.00026213317912060496,0.002918574182021526,0.003103938803477989,0.0011126354907954959
feature_thermo_1073_15_total_df,0.0,0.00417501895066541,-0.0010824906876895414,0.0030925282629758687,0.0011085452773165467
feature_text_is_binder,-0.00013719061631101148,0.003104819202554121,2.4915075821592136e-05,0.0029925436620647015,0.0010727048749922046
feature_ele_Ba,0.0012800873078808728,0.0013090783505648185,0.0003434721856978615,0.002932637844143553,0.0010512310820651285
feature_thermo_1073_15_first_df,-2.220446049250313e-16,0.002117690176550391,0.00033918036218735017,0.002456870538737519,0.0008806879035843717
feature_text_is_multi_heating,0.0016486104684920733,-0.00015495332763415526,0.0009065878953651957,0.0024002450362231136,0.0008603899699681997
feature_ele_Dy,-5.0308810508048474e-05,-7.33971109534437e-06,0.002224839341071832,0.002167190819468439,0.0007768495365839317
feature_ele_Eu,0.0016206032670756931,0.00425585914260751,-0.003741173017993468,0.002135289391689735,0.0007654141755794354
feature_ele_Tb,1.2989971887367169e-05,-0.00026220685117461784,0.002115330230910666,0.0018661133516234153,0.0006689255414884567
feature_thermo_1173_15_total_df,-2.220446049250313e-16,0.004781852845728518,-0.003035765739642988,0.001746087106085308,0.000625901026809561
feature_thermo_1073_15_last_df_frac,7.845921430083003e-05,-0.00011505656467525327,0.0016131988105314683,0.001576601460157045,0.000565147333911723
feature_text_is_homoge,0.0006328777636028793,4.561823439541701e-05,0.0008959043640536943,0.0015744003620519905,0.0005643583299959041
feature_ele_Ni,7.891283497030166e-05,-0.0003176908590658556,0.0017604623523368732,0.0015216843282413193,0.000545461781492433
feature_ele_In,-2.3002941156535783e-05,0.0008198346011920599,0.0005991917146656573,0.0013960233747011812,0.0005004174537630016
feature_thermo_1173_15_last_df_frac,-0.00013848516152514811,-0.00024301688812622402,0.0016888805134358002,0.001307378463784428,0.0004686418678996883
feature_thermo_1573_15_last_df,-7.857965118263088e-05,0.002512532988362959,-0.0012092741383307566,0.0012246791988495714,0.00043899755367348054
feature_ele_Co,4.070944914924546e-05,0.0009981057225115775,-2.4429871428336967e-05,0.001014385300232486,0.0003636157662371619
feature_thermo_1573_15_first_df_frac,-1.4407387805892569e-05,-0.00031156008341559627,0.0013349447817050122,0.0010089773104835233,0.0003616772224353924
feature_ele_Sm,0.00032923328080070036,-0.00017501163410194032,0.00040664593606292153,0.0005608675827616816,0.00020104815775300844
feature_ele_Ir,0.0001250107717016835,0.00033594818164084383,-0.00010079009279942708,0.0003601688605431003,0.00012910584979014346
feature_ele_B,0.00040219729983226316,0.0024207810768877014,-0.002469872921097765,0.0003531054556221995,0.0001265739071525993
feature_thermo_1373_15_first_df_frac,-0.000139384115743324,-0.00027982825381456244,0.0007204858323922744,0.000301273462834388,0.00010799425130701515
feature_thermo_1273_15_last_df_frac,0.001194234316161502,-5.31008625748175e-05,-0.0008435462446296138,0.0002975872089570708,0.00010667287960748618
