,Train,Valid
0,0.226603493729021,0.22337586671157383
1,0.2893524913566996,0.2847836898432874
2,0.31397087774515653,0.30811624904202883
3,0.36178131350651577,0.3546412195007722
4,0.36531606574798303,0.35659403238409204
5,0.3975955605519934,0.3877668741582899
6,0.4085034344674988,0.3979016353150434
7,0.42193589376068485,0.41038739504485455
8,0.4376821205060084,0.4254221200043007
9,0.45071478888296135,0.4372724687802335
10,0.45687325788188415,0.4422846443260987
11,0.46853016077571463,0.4535798901668535
12,0.4700853604907045,0.4539957882824299
13,0.4766471688204764,0.45944066308253817
14,0.485550324621292,0.4683483582698169
15,0.4958555875212991,0.47732856756603115
16,0.5074435803157811,0.48789035758483845
17,0.5123262268033628,0.4926282101429267
18,0.5156467003831199,0.4947376091432929
19,0.5177154808478803,0.4951195137702553
20,0.5197382991728374,0.496218716775054
21,0.5233846191317393,0.4981305791358204
22,0.5248153040905322,0.49869524168045776
23,0.529924906301104,0.498753559365712
24,0.5317686675079314,0.49966350650442326
25,0.5333820595853416,0.4992883578321229
26,0.5350597432465809,0.5007328112265599
27,0.5369376255330947,0.5014875888988742
28,0.5395339042654634,0.5015465410143054
29,0.5407034895081198,0.5019944696534447
30,0.5424149958194976,0.5033907277158081
31,0.5436465144444291,0.5035693429235809
32,0.5458495709308058,0.5052149091064886
33,0.5474155014853963,0.5058200016184761
34,0.5486550535408337,0.5063602949058459
35,0.5512362144918617,0.5093174975662407
36,0.5525682946468704,0.5060201167052092
