,Train,Valid
0,0.06884472759315374,0.06541833683744347
1,0.10640666541697286,0.09993682740189846
2,0.124574111008103,0.11602840115627877
3,0.16934374804094143,0.15505627283058598
4,0.21040345606096733,0.19403833190893993
5,0.22078281002371125,0.20076022537240246
6,0.23519406973191215,0.20506093986018215
7,0.24607004628857754,0.21446516057580423
8,0.26188893148385195,0.212121495988297
9,0.27143764795750036,0.2201024144401459
10,0.2809567022906221,0.20176031359025626
11,0.33918770804339815,0.23294597048982346
12,0.36037135713555446,0.2357547876240048
13,0.3713680771971649,0.2381047322297496
14,0.373036720220287,0.24164294114581408
15,0.3855547729948996,0.2505626595083077
16,0.38781503864657296,0.2572647951686672
17,0.406432475023217,0.25300486593122407
18,0.4079962304535796,0.2584034896317785
19,0.4052213269648486,0.2586252749885196
20,0.4163519894368638,0.2720738796598895
21,0.41776013682582036,0.27785102171396225
22,0.426679723598123,0.2724471320750459
23,0.4270025661812191,0.2736480040757351
24,0.42564391964496084,0.2772512378609452
25,0.43570142014389035,0.2763676548762505
26,0.4361690065975452,0.28004816445529546
27,0.4411780007960683,0.2839954268914141
28,0.4431297169692441,0.27820558518005956
29,0.4437971835227188,0.2777519869187631
