,Train,Valid
0,0.06884474334399016,0.06541788237207391
1,0.10578800936466537,0.10100232754216798
2,0.1228610997163263,0.11740190479237389
3,0.15777020866403169,0.15072936746870946
4,0.1917967851764697,0.18415112806777445
5,0.19657602707564348,0.18797291574434394
6,0.2052676551886342,0.19432471997214085
7,0.2157659608057132,0.20443562536134097
8,0.22195076876891284,0.20896115532304171
9,0.22784498805770026,0.21298779703862925
10,0.2390852248546016,0.22152922127721175
11,0.24536026587883464,0.2256532311664382
12,0.24977005990393852,0.2284627595290185
13,0.2542026937284637,0.23196418548730102
14,0.26298658682975595,0.2385129927091747
15,0.2668905905462854,0.2406111184171298
16,0.2713951110755617,0.24448542805420814
17,0.2747526179209725,0.24658824124913847
18,0.2778250019570693,0.2472493551301912
19,0.2807589839860043,0.2479733545219318
20,0.28538765201723815,0.25027637197659003
21,0.2882918407360012,0.25227468348226023
22,0.29077114536211546,0.25363634595904816
23,0.293576186832639,0.25522393510701935
24,0.2967782523065605,0.25837603060940506
25,0.2998622324680893,0.26050007439167233
26,0.3030250699354464,0.2630283004201881
27,0.30596232852298444,0.26312211922565487
28,0.3080541541103724,0.26412101295764967
29,0.31103041677643306,0.26563405026655396
