,Interactional Dominance,Individual Dominance,Estimated Average Partial Dominance,Total Dominance,Percentage Relative Importance
feature_thermo_1373_15_first_df_frac,0.0014159815656999974,-0.00031836927991868436,0.00019675508387996448,0.0012943673696612775,0.0010787828262895616
feature_ele_Eu,-0.00020664025022265609,0.0007103604567307853,0.0007832434661124096,0.0012869636726205388,0.0010726122587939597
feature_ele_Na,0.000936031684133809,6.673493188669166e-05,0.00025950550378853936,0.00126227211980904,0.0010520332301875467
feature_ele_Cr,0.000857060370808127,0.000866330445761454,-0.0006365798940067385,0.0010868109225628426,0.0009057961334358442
feature_ele_Zr,0.002970812903922204,0.00013046331020138968,-0.002025824127344627,0.001075452086778967,0.000896329178954834
feature_ele_Se,-0.00019237572855324014,-0.00022005099422517382,0.0014275664002600691,0.0010151396774816552,0.0008460621582564418
feature_exp_max_mp,-1.1102230246251565e-16,0.0005677867306670414,0.00033490200784923595,0.0009026887385161664,0.000752340588476874
feature_ele_Ce,9.978312706337977e-05,-0.00026844684104099237,0.0010211697852319384,0.0008525060712543258,0.0007105161413466563
feature_thermo_1073_15_last_df_frac,0.00015534750084522653,0.00063590725373186,5.1826976254193135e-05,0.0008430817308312796,0.0007026614805789414
feature_ele_Nd,0.00022882811675573045,0.0006013481551436772,-0.00012975007449866487,0.0007004261974007428,0.0005837660702439976
feature_ele_Sr,-0.00010295784797809127,-0.00031695253254349076,0.0010820519029362313,0.0006621415224146493,0.0005518579343830918
feature_ele_W,0.0011801708543803802,-0.0002804144461538982,-0.00026432476679225656,0.0006354316414342254,0.0005295967421054622
feature_ele_Mo,-0.0001374601833336042,0.005307970812486018,-0.004643523169722896,0.0005269874594295175,0.0004392145802094056
feature_thermo_1573_15_last_df_frac,-0.0002006751299469256,-0.00019671104378904403,0.0008997200012579698,0.0005023338275220001,0.0004186671565560622
feature_ele_Al,0.0029735218213837733,-7.709871820105185e-05,-0.0024084934910823283,0.00048792961210039317,0.0004066620484335735
feature_ele_Yb,6.070556064097232e-05,-0.00014098819634789095,0.0004886116843611416,0.00040832904865422293,0.00034031942977564737
feature_ele_F,-0.00015391768629724467,0.002579170633816852,-0.0020475384287619506,0.00037771451875765654,0.00031480393096020145
feature_thermo_1273_15_first_df_frac,0.0003781909476415768,-0.00019012791092132275,0.00012592666858735142,0.0003139897053076055,0.00026169286220975
feature_ele_Ru,-0.00019909863467093558,-0.00014199475302856257,0.0006130524675427166,0.0002719590798432184,0.00022666268608513476
feature_thermo_1073_15_first_df_frac,0.000448618678862589,-0.0001533104912807559,-5.320214054067601e-05,0.00024210604704115706,0.00020178185251780646
feature_ele_Ca,-8.512448245678872e-05,0.0005887357969891482,-0.0003955842552362965,0.00010802705929606303,9.003451344238819e-05
feature_ele_La,0.0010470661103718637,-1.819173224637538e-05,-0.0010200710314444386,8.803346681049689e-06,7.337097207475846e-06
feature_thermo_1373_15_last_df,-0.00020404625200698412,0.002064988647812238,-0.0020547815315312915,-0.00019383913572603752,-0.00016155408084706483
feature_ele_C,-3.3306690738754696e-16,4.440892098500626e-16,-0.0002381633939328301,-0.00023816339393271908,-0.00019849587161076837
feature_ele_Pd,0.0,4.440892098500626e-16,-0.0002390695582770319,-0.0002390695582765878,-0.0001992511089219634
feature_ele_Br,2.220446049250313e-16,4.440892098500626e-16,-0.0002423056040552693,-0.00024230560405460316,-0.00020194817213001025
feature_ele_P,-1.1102230246251565e-16,4.440892098500626e-16,-0.0002443839619734861,-0.000244383961973153,-0.0002036803672408938
feature_ele_Rh,0.0,4.440892098500626e-16,-0.00025073172894641784,-0.00025073172894597375,-0.00020897087606866125
feature_ele_Re,-1.1102230246251565e-16,4.440892098500626e-16,-0.0002507673331290172,-0.00025076733312868414,-0.00020900055016409374
feature_ele_Rb,2.220446049250313e-16,4.440892098500626e-16,-0.00025270752646366966,-0.0002527075264630035,-0.00021061759281968307
feature_ele_Cs,-2.220446049250313e-16,4.440892098500626e-16,-0.0002563162917982395,-0.0002563162917980175,-0.00021362529693736405
feature_ele_Ge,-1.1102230246251565e-16,4.440892098500626e-16,-0.000257359997520909,-0.00025735999752057593,-0.0002144951672968825
feature_ele_Os,-1.1102230246251565e-16,4.440892098500626e-16,-0.00025843084773879727,-0.0002584308477384642,-0.00021538766107543673
feature_ele_Tl,-1.1102230246251565e-16,4.440892098500626e-16,-0.00025923070161421426,-0.0002592307016138812,-0.00021605429455567258
feature_ele_S,-2.2893336446561108e-06,-0.00010186342073748023,-0.00020016266907903842,-0.00030431542346117475,-0.00025362988924146086
feature_thermo_1473_15_last_df_frac,0.0004558188105507899,-0.00010419720514653896,-0.0010654739896374377,-0.0007138523842331868,-0.0005949560462252261
feature_ele_Ni,0.0002646875231914203,0.0004407337424190416,-0.0014299951489220636,-0.0007245738833116017,-0.0006038918161997891
feature_max_p_h_300K,-2.220446049250313e-16,0.0010009377001272135,-0.0018813649615706102,-0.0008804272614436187,-0.000733786892117866
feature_exp_mean_mp,0.000465904421639296,-0.00027618927952866024,-0.0012581658600423979,-0.001068450717931762,-0.0008904939295118107
feature_ele_O,-0.00019770475103264573,0.0007215945104849242,-0.001636054038133652,-0.0011121642786813735,-0.0009269267380930304
feature_thermo_1173_15_first_df_frac,-0.00016763519075957412,-0.00029637242430058386,-0.0007816891511125837,-0.0012456967661727417,-0.001038218599765278
