,Train,Valid
0,0.5022023364933625,0.1800636823099373
1,0.552490962042437,0.2612955999284249
2,0.6587330307517372,0.32890174570205344
3,0.6770207572781619,0.35932417255788063
4,0.7034554656638347,0.38396457135787143
5,0.7034554656638347,0.38396457135787143
6,0.7225188422642727,0.4197401455741574
7,0.7357886848942947,0.43590469711709656
8,0.7405311374939136,0.45073672935978404
9,0.7439287747361635,0.46682403305452636
10,0.8019164679177122,0.5399931483115286
11,0.8007103625970607,0.5389720348873219
12,0.8129839304627935,0.5256318694453075
13,0.8108892111493265,0.5234453891904811
14,0.8116653450728336,0.5311175429797096
15,0.8176245709419978,0.5233095995500766
16,0.8206188390809699,0.5388806086114373
17,0.8183601048426564,0.5352458527902755
18,0.818504572770357,0.5387221740088373
19,0.8177337325724571,0.5347983934952479
20,0.8162056931074795,0.5422640653636424
21,0.8173635735958711,0.5440899376689657
22,0.8173635735958711,0.5440899376689657
23,0.8173635735958711,0.5440899376689657
24,0.8186370027202237,0.5397094184647775
25,0.8204108217503706,0.5511687386004964
26,0.820461410486902,0.5516199744719636
27,0.8183643973278054,0.5527625096284383
28,0.8210765499489743,0.5659976327066432
29,0.8186851945153233,0.5642269131216189
30,0.8186851945153233,0.5642269131216189
31,0.8186845436697374,0.564217643737851
32,0.8253111070047395,0.5627198186568896
33,0.8252895277377663,0.5595826658291179
34,0.8252281791000672,0.5616288939212737
35,0.8251420924917587,0.5607824480073353
36,0.8251420924917587,0.5607824480073353
